,제목,주소,조회수
0,포로로 만들어 버린다?_러브라이브!슈퍼스타!!_10화 하이라이트_[Aniplus],https://www.youtube.com/watch?v=vmmCx_t-fa8,"369,710회"
1,내가 듣고 싶어서 만든 러브라이브 노래 모음 1 / LOVE LIVE SONGS COLLECTION 1,https://www.youtube.com/watch?v=6WR81eB1vI8,"130,506회"
2,[ 자막/발음 ] 러브라이브 'Snow Halation' 풀버전,https://www.youtube.com/watch?v=oAlkQKFSxYs,"272,226회"
3,🔥내 취향 러브라이브 μ's 노래 모음🔥 [Playlist],https://www.youtube.com/watch?v=Ksgzq3HAvLc,"23,871회"
4,(혐오주의)러브라이브에 대한 14가지 사실들,https://www.youtube.com/watch?v=wA7lZkOIYDo,"53,581회"
5,「ラブライブ！」TVアニメ1期 アニメーションPV集 前編【スクスタリリース記念！】,https://www.youtube.com/watch?v=xOR3GvjFuzM,"2,705,987회"
6,【LoveLive!】 Random Play Dance【μ’s&Aqours Basic編】,https://www.youtube.com/watch?v=Fg6E0r7SRXM,"10,312회"
7,레전드 무대를 찍어버렸다_러브라이브!슈퍼스타!!_12화 하이라이트_[Aniplus],https://www.youtube.com/watch?v=77eFMUPfl2A,"64,619회"
8,(마침내 결승 무대!)WATER BLUE NEW WORLD _러브 라이브 선샤인!!2기_12화_하이라이트_[Aniplus],https://www.youtube.com/watch?v=l2yedOtu_1U,"884,326회"
9,"갓 곡 무대, My무희☆Tonight, _러브 라이브 선샤인!!2기_3화_하이라이트_[Aniplus]",https://www.youtube.com/watch?v=b_TfGpjiJyQ,"631,665회"
10,[ 자막/발음 ] 러브라이브 'Start Dash' 풀버전,https://www.youtube.com/watch?v=6wJPAK2VVqg,"75,113회"
11,러브라이브 1기 10분만에 보기 [스토리 요약/결말 포함],https://www.youtube.com/watch?v=USR9WOOgE3M,"10,452회"
12,[생방송] 24시간 현장을 전합니다 / 연합뉴스TV  (YonhapnewsTV),https://www.youtube.com/watch?v=0GN8t2u3flc,"55,622,004회"
13,[1시간/HOUR] TOYOTE (토요태) - Still I Love You (스틸 아이 러브 유) Hangout With Yoo (놀면 뭐하니) Lyrics/가사,https://www.youtube.com/watch?v=01IbFSfzwdU,"80,477회"
14,♨핫클립♨ ＂남의 어게인을 누르고 싶을 정도＂ 최강벌스 33호 가수 '너무 아픈 사랑은 사랑이 아니었음을'｜싱어게인2｜JTBC 211220 방송,https://www.youtube.com/watch?v=DlnE8uxALV8,"2,284,180회"
15,"남자는 할때보다 하기전이 더 설레고, 여자는 하고나서가....｜매불쇼 풀버전",https://www.youtube.com/watch?v=ZBmKPnzMl1w,"349,162회"
16,"(사면, 연애, 영화) 최욱의 선 넘는 발언들! 비난댓글이 콸콸콸~!｜매불쇼 풀버전",https://www.youtube.com/watch?v=yDJG4oc-6MY,"268,128회"
17,러브라이브 애니 속 노래 모음,https://www.youtube.com/watch?v=bHlaItYHj7U,"72,266회"
18,러브라이브 선샤인 - 미숙 드리머(1440p 60fps),https://www.youtube.com/watch?v=wveXOvrfgMY,"328,878회"
19,얼굴 보느라 노래가 안들리는 매직송♬_러브라이브!슈퍼스타!!_3화 하이라이트_[Aniplus],https://www.youtube.com/watch?v=E25SP1mhEDI,"100,444회"
20,[ 자막/발음 ] 러브라이브 '우리들의 Live 너와의 Life' 풀버전,https://www.youtube.com/watch?v=TuZPplEyOKo,"19,692회"
21,【단즈】  ❅ Snow halation ❅゜스노우 하레이션 '러브라이브 OST' 한국어 COVER,https://www.youtube.com/watch?v=t1KXYo5T4os,"5,863회"
